text,retweet_count,favorited,retweeted,created_at,verified,location,description,user_created_at,statuses_count,followers_count,favourites_count,name,time_zone,friends_count,lat,lon,Brand
"#WingsTourFinal
They so sweet as always n look so happy my angels, I really can't wait until 10 n watch them live !! https://t.co/BFGn5cTKD1",0,FALSE,FALSE,Fri Dec 08 15:07:58 +0000 2017,FALSE,"Las Vegas, NV","BTS is my Life<U+2661> HATERS GONNA HATE
*Did u see my bag?? My bag filled with trophies*<U+25CF>DNA<U+25CF>Love yourself-her.
#Kings #Legend<U+2661><U+2661> #MicDropRemix",Sat Sep 24 15:12:05 +0000 2016,5864,617,4942,<U+2661>Chimmy<U+2661>BTS8Winner<U+2661>,NA,2151,36.232915,-115.223125,DunkinDonuts
I have two cuts in my lip and no chapstick I can already tell how today is going to go,0,FALSE,FALSE,Fri Dec 08 15:07:59 +0000 2017,FALSE,NA,"Sweet and Chubby, a little dead inside but has a lot of personality and is very loyal to their friends.",Sat May 19 00:51:36 +0000 2012,865,50,602,Alanna<ed><U+00A0><U+00BC><ed><U+00BC><U+00B9>,Central Time (US & Canada),202,43.147902,-93.194233,DunkinDonuts
But when are you coming to Cali<ed><U+00A0><U+00BD><ed><U+00B8><U+00AA> https://t.co/BPZ17mC7vK,0,FALSE,FALSE,Fri Dec 08 15:07:59 +0000 2017,FALSE,"Soledad, CA",Life goes on.,Wed Jan 09 03:08:28 +0000 2013,3857,312,6340,ELENA,NA,331,36.4280555,-121.3226155,DunkinDonuts
Tweets from 25 years ago. https://t.co/c1Y62uUxeK,0,FALSE,FALSE,Fri Dec 08 15:07:59 +0000 2017,FALSE,"Philadelphia, PA",RIP DudaWrightThing,Fri Apr 10 21:57:34 +0000 2009,25798,275,3650,Fiddle Elphier,Eastern Time (US & Canada),587,40.0048655,-75.117998,DunkinDonuts
@nykirajordana Flex on me then <ed><U+00A0><U+00BD><ed><U+00B2><U+0085><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>,0,FALSE,FALSE,Fri Dec 08 15:07:59 +0000 2017,FALSE,Cincinnati/Columbus,THE Ohio State University | <U+264F> |,Thu Jul 02 21:55:39 +0000 2009,187142,1486,39270,ANTics,Pacific Time (US & Canada),584,39.9946835,-82.985772,DunkinDonuts
lmmfaooooo https://t.co/IZzC4wQFY0,0,FALSE,FALSE,Fri Dec 08 15:07:59 +0000 2017,FALSE,NA,"for everyone who exalts himself will be humbled, and he who humbles himself will be exalted...",Fri Jul 03 18:16:27 +0000 2009,105075,2320,3044,Kourtney Kardashian,Pacific Time (US & Canada),464,29.838495,-95.4464865,DunkinDonuts
@robvogue @AMOURBEEZY He went too far with the hair cut though and you ain’t really black if you haven’t gotten beaten like that <ed><U+00A0><U+00BE><ed><U+00B4><U+00B7><ed><U+00A0><U+00BC><ed><U+00BF><U+00BF><U+200D><U+2642><U+FE0F>,0,FALSE,FALSE,Fri Dec 08 15:07:59 +0000 2017,FALSE,"Brampton, Ontario",God first! SC// sultan_adeyeki,Sat Dec 01 06:37:19 +0000 2012,46135,480,55106,Äde¥€mi<ed><U+00A0><U+00BD><ed><U+00B3><U+0088>,NA,419,43.724971,-79.7595915,DunkinDonuts
Looking for another turn around in soy oil today. Money getting out of meal/oil,0,FALSE,FALSE,Fri Dec 08 15:07:59 +0000 2017,FALSE,NW Iowa,"ISU Alum, Engineer, 17 year grain farmer.",Mon Jul 06 20:56:07 +0000 2009,2548,415,244,MU33,Central Time (US & Canada),460,41.9382285,-93.389864,DunkinDonuts
“snapchat that phat ass don’t snapchat no duck face” <ed><U+00A0><U+00BD><ed><U+00B1><U+00BB>,0,FALSE,FALSE,Fri Dec 08 15:07:59 +0000 2017,FALSE,"Telluride, CO","Sagittarius. Peanut butter, EDM and Rosé all day <U+2728><ed><U+00A0><U+00BE><ed><U+00B5><U+0082><ed><U+00A0><U+00BD><ed><U+00B2><U+009B> IG: mary_agan Snap: maryagan",Tue Jul 26 17:43:49 +0000 2016,15219,4808,58916,the virgin mary <U+2728><ed><U+00A0><U+00BC><ed><U+00BE><U+0084><ed><U+00A0><U+00BE><ed><U+00B4><U+00B6><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>,Pacific Time (US & Canada),844,38.997936,-105.5508905,DunkinDonuts
2018 Ima just be patient listen so my #1 lady and stacc,0,FALSE,FALSE,Fri Dec 08 15:07:59 +0000 2017,FALSE,"Dubai, United Arab Emirates",GODFIRST| KCMO<ed><U+00A0><U+00BD><ed><U+00B3><U+008D>| FBL | #riplildaddy | 1luv2myfolkz,Fri May 01 13:04:50 +0000 2015,13186,749,7499,woodlandbaby<U+267F><U+FE0F>,NA,621,39.1000485,-94.5592815,DunkinDonuts
The point has me weeeak<ed><U+00A0><U+00BD><ed><U+00B8><U+00A9><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> https://t.co/m3zvrEdcWk,0,FALSE,FALSE,Fri Dec 08 15:07:59 +0000 2017,FALSE,"California, USA",Wesley Leoncé Lopez-Branner | keyboardist/Organist/Synths/Producer<ed><U+00A0><U+00BC><ed><U+00BE><U+00B9><ed><U+00A0><U+00BC><ed><U+00BE><U+00A7> | Vocalist/Songwriter <ed><U+00A0><U+00BC><ed><U+00BE><U+00A4> | Music Major<ed><U+00A0><U+00BE><ed><U+00B4><U+0098><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE><ed><U+00A0><U+00BC><ed><U+00BE><U+00BC><ed><U+00A0><U+00BD><ed><U+00B3><U+009A>| Blessed<ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>| RIP Lucas<ed><U+00A0><U+00BC><ed><U+00BC><U+008E><ed><U+00A0><U+00BD><ed><U+00B1><U+00BC><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>,Wed Mar 23 01:59:34 +0000 2011,15792,870,5194,Wesley Leoncé<ed><U+00A0><U+00BC><ed><U+00BC><U+0084>,Arizona,2354,37.331159,-121.8737305,DunkinDonuts
Warm up with a cup of Valrhona Hazelnut Hot Chocolate at our Boutique <U+2744><U+FE0F> <ed><U+00A0><U+00BD><ed><U+00B3><U+00B8> make.the.things @… https://t.co/QqBzgeCrVH,0,FALSE,FALSE,Fri Dec 08 15:08:00 +0000 2017,FALSE,58th and 7th Avenue,Restaurant specializing in caviar and seafood while the next door cafe brings Parisian pastries and desserts to NYC. http://www.facebook.com/PetrossianNYC,Wed Nov 23 15:27:41 +0000 2011,3077,1664,985,PetrossianNYC,Eastern Time (US & Canada),1345,40.780709,-73.9685415,DunkinDonuts
Boom!  Pumped to have @BunkerLabsSATX here (formally now) as part of the SATX tech ecosystem.  Look forward to work… https://t.co/B5coN0aDmM,0,FALSE,FALSE,Fri Dec 08 15:08:00 +0000 2017,FALSE,NA,We are an incubator launching and scaling early-stage security product companies.,Mon May 23 17:48:14 +0000 2016,163,187,262,BUILD SEC FOUNDRY,Pacific Time (US & Canada),39,29.417501,-98.5406515,DunkinDonuts
"Want to work at Clean Harbors? We're #hiring in #DesMoines, IA! Click for details: https://t.co/4uQiSbBUsv #Driver #Job #Jobs #CareerArc",0,FALSE,FALSE,Fri Dec 08 15:08:00 +0000 2017,FALSE,"Des Moines, IA","Follow this account for geo-targeted Transportation job tweets in Des Moines, IA. Need help? Tweet us at @CareerArc!",Sun May 30 02:55:07 +0000 2010,128,306,0,TMJ-IAD Transport.,Quito,273,41.5764375,-93.6063695,DunkinDonuts
Bruh Draya is retarded omg <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>,0,FALSE,FALSE,Fri Dec 08 15:08:00 +0000 2017,FALSE,"Rahway, NJ",A gentleman will never go out of style. #UMES,Fri Jun 18 13:18:45 +0000 2010,116650,1788,1420,Tobin Scott <ed><U+00A0><U+00BC><ed><U+00BE><U+00AD>,Mid-Atlantic,276,38.194099,-75.6923485,DunkinDonuts
This #job might be a great fit for you: Service &amp; Kitchen Team (2686) - https://t.co/slukox1Wnj #Hospitality… https://t.co/mQlTxcIt1x,0,FALSE,FALSE,Fri Dec 08 15:08:00 +0000 2017,FALSE,"Savannah, GA","Follow this account for geo-targeted Hospitality/Restaurant/Tourism job tweets in Savannah, GA. Need help? Tweet us at @CareerArc!",Tue Dec 29 05:23:31 +0000 2009,126,307,0,TMJ-GAS HRTA Jobs,Eastern Time (US & Canada),264,32.0172845,-81.1096165,DunkinDonuts
i finna go back to sleep,0,FALSE,FALSE,Fri Dec 08 15:08:00 +0000 2017,FALSE,bo$$ up la bitch <ed><U+00A0><U+00BD><ed><U+00B2><U+00B0>,LongLive B & Trey<ed><U+00A0><U+00BD><ed><U+00B1><U+00BC><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD>,Fri Oct 04 12:33:32 +0000 2013,10802,370,4796,december10<U+2650><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B4><U+009E>,NA,219,30.5093835,-90.5713885,DunkinDonuts
"This #job might be a great fit for you: Global HR Data Privacy and Information Security Officer, VP -… https://t.co/T97KJhYrBp",0,FALSE,FALSE,Fri Dec 08 15:08:00 +0000 2017,FALSE,"Boston, MA","A State Street career means a chance to grow your skills, make a mark on your community, and impact the strength of the world economy. 
https://t.co/XPi7dZ2KAX",Fri Feb 26 17:29:32 +0000 2016,358,109,0,Jobs at State Street,NA,0,42.3136695,-71.0887125,DunkinDonuts
Can you recommend anyone for this #job? Certified Nursing Assistant - CNA / Home Health Aide - HHA -… https://t.co/ecmVGf4hZT,0,FALSE,FALSE,Fri Dec 08 15:08:00 +0000 2017,FALSE,"Moorestown, NJ","When you do work that matters, it matters where you work. Find out why we <U+2764> what we do http://www.bayada.com/love",Thu Oct 18 19:39:58 +0000 2012,43568,526,1,Join BAYADA,Eastern Time (US & Canada),29,39.9054745,-104.949845,DunkinDonuts
"See our latest #Jackson, TN #job and click to apply: SC ADMIN SPEC I - https://t.co/gxtihrrDnB #WeareSEFL #Clerical #Hiring",0,FALSE,FALSE,Fri Dec 08 15:08:00 +0000 2017,FALSE,"Columbia, SC",Family owned since 1950.  No layoff in the history of the company.  Serving the Southeast & Southwest in 90 service centers.  #trucking #careers #LTL,Fri Jan 20 18:18:11 +0000 2017,550,41,3,SEFL Careers,Pacific Time (US & Canada),46,35.644325,-88.838595,DunkinDonuts
<U+2744><U+FE0F>Enjoyed our morning coffee with the pups in what snow was left over from last night. They… https://t.co/l6CxILmqCI,0,FALSE,FALSE,Fri Dec 08 15:08:00 +0000 2017,FALSE,"Austin, Texas",Marketing Manager @Gartner_inc (views all mine): I tweet about my love for tacos + music + bikes + #digitalmarketing.,Mon Feb 04 01:11:54 +0000 2008,2224,1113,2586,Irene Lewis,Central Time (US & Canada),1134,30.3233455,-97.754724,DunkinDonuts
"See our latest #Dunn, NC #job and click to apply: Registered Nurses - https://t.co/9zmgwEPya9 #Nursing #Hiring #CareerArc",0,FALSE,FALSE,Fri Dec 08 15:08:00 +0000 2017,FALSE,"Fayetteville, NC","Follow this account for geo-targeted Healthcare-Nursing job tweets in Fayetteville, NC. Need help? Tweet us at @CareerArc!",Fri Mar 06 19:34:42 +0000 2009,63,386,0,TMJ-FAY Nursing Jobs,Eastern Time (US & Canada),300,35.3171125,-78.6175615,DunkinDonuts
Whose in Vegas <ed><U+00A0><U+00BD><ed><U+00B2><U+0095> i just landed,0,FALSE,FALSE,Fri Dec 08 15:08:00 +0000 2017,FALSE,"Hillsboro, OR ",scam today before it scams you.,Tue Oct 20 02:34:25 +0000 2009,32606,607,9893,aly,Pacific Time (US & Canada),164,36.0609645,-115.135165,DunkinDonuts
"i'm literally so embarrassing, i bring it upon myself, i must like it idk",0,FALSE,FALSE,Fri Dec 08 15:08:00 +0000 2017,FALSE,"Queens, NY",NA,Sun Apr 05 00:37:00 +0000 2009,13367,347,24889,crooked emily,Quito,490,40.780709,-73.9685415,DunkinDonuts
Can you recommend anyone for this #job? Seasonal Brand Associate - The Rim - https://t.co/QmgYH6H5N2 #Seasonal… https://t.co/Zr2ZKBPa7W,0,FALSE,FALSE,Fri Dec 08 15:08:00 +0000 2017,FALSE,"San Antonio, TX","Follow this account for geo-targeted Other job tweets in San Antonio, TX. Need help? Tweet us at @CareerArc!",Tue May 05 22:25:57 +0000 2009,421,713,0,TMJ-SAT Jobs,Eastern Time (US & Canada),539,29.417501,-98.5406515,DunkinDonuts
"Want to work in #Painesville, OH? View our latest opening: https://t.co/zcGvr7rj76 #CustomerService #Job #Jobs #Hiring #CareerArc",0,FALSE,FALSE,Fri Dec 08 15:08:00 +0000 2017,FALSE,"Cleveland, OH","Follow this account for geo-targeted Customer Service job tweets in Cleveland, OH. Need help? Tweet us at @CareerArc!",Sun Sep 06 02:00:50 +0000 2009,277,347,0,TMJ-CLE CstSrv Jobs,Eastern Time (US & Canada),281,40.3651595,-82.6694675,DunkinDonuts
My coworker texted me  it’s snowing . I’m not coming in today lol.,0,FALSE,FALSE,Fri Dec 08 15:08:00 +0000 2017,FALSE,Building pyramids,"bool,balm, and bollepted. I was floating ,I don't fall. Nola .21. Tyronne Jr.",Thu Jul 23 04:45:34 +0000 2015,89876,1218,21485,Deaf Greg<ed><U+00A0><U+00BD><ed><U+00B1><U+0090><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><ed><U+00A0><U+00BE><ed><U+00B4><U+00B2><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><ed><U+00A0><U+00BE><ed><U+00B4><U+0098><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD>,Pacific Time (US & Canada),842,29.8731515,-90.030948,DunkinDonuts
Mine too! https://t.co/MgB0CcRQxE,0,FALSE,FALSE,Fri Dec 08 15:08:00 +0000 2017,FALSE,New York,"designer, spokesperson, artist, believer,",Tue May 12 19:24:02 +0000 2009,22451,1783,19129,Marc Blackwell,NA,3949,47.614817,-122.3306025,DunkinDonuts
We're #hiring! Click to apply: Sales Compensation Senior Analyst - https://t.co/Pl51CU99SA #DellJobs #Sales… https://t.co/w9Zv5FXZSQ,0,FALSE,FALSE,Fri Dec 08 15:08:00 +0000 2017,FALSE,"Austin, TX","Follow this account for geo-targeted Sales job tweets in Austin, TX. Need help? Tweet us at @CareerArc!",Mon Feb 23 17:49:18 +0000 2009,347,535,0,TMJ - AUS Sales Jobs,Eastern Time (US & Canada),311,30.5193405,-97.672732,DunkinDonuts
Yuck @PublixHelps this quiche was NOT GOOD :( https://t.co/f5m1x7daUU,0,FALSE,FALSE,Fri Dec 08 15:08:00 +0000 2017,FALSE,the penis of the US & A,"Twitterlebrity, SM Vixen, Hashtag abuser, Food truck obsessed. Expect the best, be prepared for the worst; fuck what others think & do your own thing.",Fri Apr 17 01:03:17 +0000 2009,58275,2606,3679,La Diabla Roja,Eastern Time (US & Canada),2113,26.103362,-80.401725,DunkinDonuts
Definitely not a fan of this white stuff falling from the sky <ed><U+00A0><U+00BD><ed><U+00B9><U+0084>. #Snowmageddon,0,FALSE,FALSE,Fri Dec 08 15:08:01 +0000 2017,FALSE,"Burlington, NC",Former golfer at University of North Carolina at Wilmington • Playing on the Symetra Tour• <ed><U+00A0><U+00BC><ed><U+00BF><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><U+200D><U+2640><U+FE0F> •Philippians 4:13,Thu Apr 15 23:03:33 +0000 2010,13569,535,8406,Lori Beth Adams,Eastern Time (US & Canada),997,35.1704985,-79.861034,DunkinDonuts
Black diamonds and pearls,0,FALSE,FALSE,Fri Dec 08 15:08:01 +0000 2017,FALSE,"Mullica, New Jersey ",NA,Wed Dec 26 16:34:51 +0000 2012,5041,445,2680,Chad Italiano,NA,344,40.0730405,-74.7243235,DunkinDonuts
"@JKCorden .@LiamPayne: that's better.
@JKCorden: that's it, now we're cooking!
@LiamPayne: you smell great btw. https://t.co/6Ng7ejr3Lv",0,FALSE,FALSE,Fri Dec 08 15:08:00 +0000 2017,FALSE,"NYC, US",Comms @iHeartRadio + @iHeartMedia,Thu Feb 12 04:49:16 +0000 2009,27168,1158,11923,Kevin,Quito,635,40.780709,-73.9685415,DunkinDonuts
"A special and inspirational fighter.  Thank you for being part of our lives,  Mackenzie. https://t.co/XZ7GgkNeKT",0,FALSE,FALSE,Fri Dec 08 15:08:01 +0000 2017,FALSE,"11 centers in OK, TX & AR",Ninth largest blood center in America.,Thu May 14 13:54:23 +0000 2009,2329,1787,325,OK Blood Institute,Central Time (US & Canada),238,35.4828435,-97.552161,DunkinDonuts
This also from NM https://t.co/Xy048m2O4m,0,FALSE,FALSE,Fri Dec 08 15:08:01 +0000 2017,FALSE,NA,NA,Thu Jun 19 12:49:42 +0000 2014,13905,415,15657,Virginia Scharff,NA,412,35.1170025,-106.632718,DunkinDonuts
"As 2017 winds down, @NatureMedicine recaps the biggest biomedical breakthroughs of the year. Advances in CRISPR and… https://t.co/2GKa9Gps3g",0,FALSE,FALSE,Fri Dec 08 15:08:01 +0000 2017,FALSE,"Boston, MA",Stem cell & heart biologist + CRISPR-er + space enthusiast. I like teaching science. | @Harvard Genetics | @Stanford Stem Cell PhD | @DukeU | Forbes 30 Under 30,Mon Mar 28 05:22:43 +0000 2011,1158,634,70,Arun Sharma,Eastern Time (US & Canada),65,42.3136695,-71.0887125,DunkinDonuts
@MaryHPiper Still raining here in uptown #nola... <U+2639><U+FE0F>,0,FALSE,FALSE,Fri Dec 08 15:08:02 +0000 2017,FALSE,IG: marybsonnier,"Wife/mother, restauranteur, retired chef. I enjoy family, food, wine, cocktails, movies, cats #Saints #WhoDatNation #SNFFOW #WHODAT #NewOrleans #Louisiana #NOLA",Wed Jul 15 13:37:01 +0000 2009,58143,7611,46366,Merry Sonnier <U+269C><U+FE0F><ed><U+00A0><U+00BC><ed><U+00BE><U+0084><U+269C><U+FE0F>,Central Time (US & Canada),4556,29.982601,-90.011008,DunkinDonuts
Iconic https://t.co/nHTykSnmHm,0,FALSE,FALSE,Fri Dec 08 15:08:00 +0000 2017,FALSE,"Louisville, KY",hola. insta: @iguessitsbama sc: b_ama21 #L1C4 <ed><U+00A0><U+00BC><ed><U+00B7><U+00B8><ed><U+00A0><U+00BC><ed><U+00B7><U+00BB> follow @wiseautosllc,Wed Sep 21 22:16:20 +0000 2011,129331,1470,72008,Bama<ed><U+00A0><U+00BC><ed><U+00B7><U+00B8><ed><U+00A0><U+00BC><ed><U+00B7><U+00BB>,Eastern Time (US & Canada),384,38.4185295,-85.777663,DunkinDonuts
Man it was snowing in Lafayette. Mbn.,0,FALSE,FALSE,Fri Dec 08 15:08:02 +0000 2017,FALSE,NA,21. Grambling State U. Biology. Psychology.,Wed Feb 04 22:42:41 +0000 2015,10256,349,8700,Sweets <ed><U+00A0><U+00BC><ed><U+00BD><U+00AD>,NA,367,32.5277255,-92.7019445,DunkinDonuts
Me and the woman on the left throwing up the Wolfpack signs are going to have to have a talk. <ed><U+00A0><U+00BD><ed><U+00B8><U+0092> https://t.co/y3RcCG9ccU,0,FALSE,FALSE,Fri Dec 08 15:08:01 +0000 2017,FALSE,"Morrisville, NC",Staff writer for @tarheelblog. 2017 National Champions!! #GoHeels,Tue Oct 13 02:30:58 +0000 2009,6497,210,4370,Brandon Anderson,Central Time (US & Canada),362,35.8338405,-78.8339105,DunkinDonuts
We're #hiring! Read about our latest #job opening here: Shift Supervisor Management Trainee -… https://t.co/uwrVgGiCmc,0,FALSE,FALSE,Fri Dec 08 15:08:01 +0000 2017,FALSE,"Baltimore, MD","Follow this account for geo-targeted Retail job tweets in Baltimore, MD. Need help? Tweet us at @CareerArc!",Fri Apr 03 00:57:33 +0000 2009,581,460,0,TMJ-BAL Retail Jobs,Eastern Time (US & Canada),311,39.396352,-76.6151805,DunkinDonuts
Yup. Don’t get caught or you may lose your cock and balls for sure. https://t.co/j9gIOxs0VV,0,FALSE,FALSE,Fri Dec 08 15:08:02 +0000 2017,FALSE,Michael Nguyen 714-718-0803,"Israel Actual LEA Noriega Actual, Lo Ray Son, Speaker of the Indigenous Lower & Middle 1% Constitutional Enforcement Couch Commander. Telepathy is Real.",Sun Mar 16 09:15:30 +0000 2014,9950,1334,655,O Sana O Michael EME,Pacific Time (US & Canada),3945,33.710105,-117.9476415,DunkinDonuts
"Can you recommend anyone for this #job in #Brockton, MA? https://t.co/3BosvBKctt #HealthWelfare #Hiring #CareerArc",0,FALSE,FALSE,Fri Dec 08 15:08:02 +0000 2017,FALSE,"Boston, MA","Follow this account for geo-targeted Health & Welfare job tweets in Boston, MA. Need help? Tweet us at @CareerArc!",Wed Aug 19 03:27:44 +0000 2009,258,131,0,TMJ-BOS Health&Wlf,Eastern Time (US & Canada),92,42.0845665,-71.0267745,DunkinDonuts
"If you're looking for work in #Carlsbad, NM, check out this #job: https://t.co/zSItqF1SRO #OBGYN #Hiring #CareerArc",0,FALSE,FALSE,Fri Dec 08 15:08:03 +0000 2017,FALSE,New Mexico,Follow this account for geo-targeted Physician-Obstetrics/Gynecology job tweets in New Mexico Non-Metro. Need help? Tweet us at @CareerArc!,Thu Sep 10 18:58:28 +0000 2009,1,105,0,Physician-OB/GYN NM,Eastern Time (US & Canada),76,32.3879025,-104.239477,DunkinDonuts
I FORGOT MY CHARGER IN MY CAR!!!!! <ed><U+00A0><U+00BD><ed><U+00B8><U+00A1>,0,FALSE,FALSE,Fri Dec 08 15:08:03 +0000 2017,FALSE,"California, USA",te pasaste de verga,Wed Aug 24 01:08:15 +0000 2011,56221,1300,18307,Josy,Pacific Time (US & Canada),276,34.1081605,-117.462698,DunkinDonuts
Stigmabase | NAM —  Americans have to elect more than 20000 LGBTQ politicians to reach true equality - Now that Dan… https://t.co/MhT3WJW4Ed,0,FALSE,FALSE,Fri Dec 08 15:08:04 +0000 2017,FALSE,Americas | UK | Ireland,Americas — UK — Ireland  |  Keeping up-to-date on social exclusion worldwide Nonprofit Initiative,Thu Apr 29 13:56:48 +0000 2010,1311082,4676,0,Stigmabase | ORG,Pacific Time (US & Canada),4241,49.257639,-123.123581,DunkinDonuts
Peek a boo ICU lol cheers @emprezkilla gm my queen! https://t.co/VnpU2vfIA8,0,FALSE,FALSE,Fri Dec 08 15:08:04 +0000 2017,FALSE,"LOS ANGELES,CA",30 yrs Music biz #PRODUCER #DRUmmer #COMPOSER #BMI #JAZZ #EDM #REGGAE #housemusic #drumtech #concerts #TOURS #STUDIO #ACTOR #SEINFIELD,Thu Dec 06 17:51:07 +0000 2012,425978,20240,229422,STEVEN T. E@STER,Pacific Time (US & Canada),15772,34.0207895,-118.4119065,DunkinDonuts
Stigmabase | NAM —  Americans have to elect more than 20000 LGBTQ politicians to reach true equality https://t.co/GqY4NPSkIu,0,FALSE,FALSE,Fri Dec 08 15:08:04 +0000 2017,FALSE,Scot | Inuit | Skandinavien,"Scotland — Inuit —  Svenska — <U+0420><U+0443><U+0441><U+0441><U+043A><U+0438><U+0439> 
Keeping up-to-date on social exclusion worldwide | 
A Nonprofit Initiative",Wed Sep 15 15:55:47 +0000 2010,542025,1636,0,Stigmabase | NORDIC,Eastern Time (US & Canada),1452,49.257639,-123.123581,DunkinDonuts
"Stigmabase | NAM —  On Being Black, Gay, and Male in the Tech Industry https://t.co/zH7K5eoPc0",0,FALSE,FALSE,Fri Dec 08 15:08:04 +0000 2017,FALSE,Scot | Inuit | Skandinavien,"Scotland — Inuit —  Svenska — <U+0420><U+0443><U+0441><U+0441><U+043A><U+0438><U+0439> 
Keeping up-to-date on social exclusion worldwide | 
A Nonprofit Initiative",Wed Sep 15 15:55:47 +0000 2010,542026,1636,0,Stigmabase | NORDIC,Eastern Time (US & Canada),1452,49.257639,-123.123581,DunkinDonuts
