text,retweet_count,favorited,retweeted,created_at,verified,location,description,user_created_at,statuses_count,followers_count,favourites_count,name,time_zone,friends_count,lat,lon,Brand
"Want to work at OfficeTeam? We're #hiring in #Carrollton, TX! Click for details: https://t.co/Pjqgcw2xrK… https://t.co/5gfC7Gtpsk",0,FALSE,FALSE,Fri Dec 08 15:05:39 +0000 2017,FALSE,"DFW, Texas","Follow this account for geo-targeted Customer Service job tweets in DFW, Texas. Need help? Tweet us at @CareerArc!",Sat Sep 05 03:54:48 +0000 2009,975,458,0,TMJ-DFW CstSrv Jobs,Eastern Time (US & Canada),281,31.1688935,-100.0768885,Starbucks
"This #job might be a great fit for you: Salon Manager - https://t.co/t0zTS7DpgW #Cosmetology #Kendallville, IN #Hiring #CareerArc",0,FALSE,FALSE,Fri Dec 08 15:05:39 +0000 2017,FALSE,Indiana,Follow this account for geo-targeted Other job tweets in Indiana Non-Metro. Need help? Tweet us at @CareerArc!,Thu May 21 18:01:07 +0000 2009,380,761,0,TMJ-IN-USA Jobs,Eastern Time (US & Canada),527,41.446055,-85.2606015,Starbucks
"Interested in a #job in #Indianapolis, IN? This could be a great fit: https://t.co/xXaZJQHFsk #Clerical #Hiring #CareerArc",0,FALSE,FALSE,Fri Dec 08 15:05:39 +0000 2017,FALSE,"Indianapolis, IN","Follow this account for geo-targeted Office/Clerical job tweets in Indianapolis, IN. Need help? Tweet us at @CareerArc!",Fri Mar 06 02:55:21 +0000 2009,141,303,0,TMJ-IND Cleric. Jobs,Eastern Time (US & Canada),195,39.7795625,-86.1429225,Starbucks
"Can you recommend anyone for this #job? Line Cook - https://t.co/CafIcvktCJ #Hospitality #Toronto, ON #Hiring #CareerArc",0,FALSE,FALSE,Fri Dec 08 15:05:39 +0000 2017,FALSE,Toronto,Follow this account for geo-targeted Hospitality/Restaurant/Tourism job tweets in Toronto. Need help? Tweet us at @CareerArc!,Mon Mar 02 05:34:59 +0000 2009,199,474,0,TMJ-GTA HRTA Jobs,Eastern Time (US & Canada),301,43.629311,-79.2725695,Starbucks
Sometimes my kitchen smells like a machine shop. Because sometimes you just need to drill a half inch hole in a hal… https://t.co/XtwJaOH2Jr,0,FALSE,FALSE,Fri Dec 08 15:05:40 +0000 2017,FALSE,"Nashville, TN","AKA Relithe. Industrial tech, hardware mage, tinker, history buff, music nerd, video game archivist, anime junkie. Attached to @ZillaNoises.",Fri Jan 21 00:51:01 +0000 2011,2172,113,3091,Phil Smith,Mountain Time (US & Canada),284,35.8305215,-85.9785995,Starbucks
"Can you recommend anyone for this #job in #Winchester, IL? https://t.co/R4bNsy7UUe #Transportation #Hiring #CareerArc",0,FALSE,FALSE,Fri Dec 08 15:05:40 +0000 2017,FALSE,"Springfield, IL","Follow this account for geo-targeted Transportation job tweets in Springfield, IL. Need help? Tweet us at @CareerArc!",Fri May 28 05:54:27 +0000 2010,66,289,0,TMJ-ILS Transport.,Quito,273,39.7393005,-89.2665075,Starbucks
@vwinn @kevinwarrenfit @YomsTruly You know a Family Feud survey of “what would you be doing if your House was burni… https://t.co/q9udo6C4L3,0,FALSE,FALSE,Fri Dec 08 15:05:39 +0000 2017,FALSE,NA,NA,Sat Aug 06 04:56:57 +0000 2011,4312,205,3167,Sam Harper,Central Time (US & Canada),336,29.838495,-95.4464865,Starbucks
"See our latest #StCharles, IL #job and click to apply: 2nd Press Operator - Large Format - https://t.co/qCNTPTPIot #Labor #Hiring #CareerArc",0,FALSE,FALSE,Fri Dec 08 15:05:40 +0000 2017,FALSE,"Chicago, IL","Follow this account for geo-targeted General Labor job tweets in Chicago, IL. Need help? Tweet us at @CareerArc!",Wed Mar 04 04:22:46 +0000 2009,122,389,0,TMJ-CHI Labor Jobs,Eastern Time (US & Canada),298,39.7393005,-89.2665075,Starbucks
"We're #hiring! Read about our latest #job opening here: Forklift Operator - https://t.co/wGGp3IuQ53 #Labor #Durham, NC #CareerArc",0,FALSE,FALSE,Fri Dec 08 15:05:40 +0000 2017,FALSE,"RDU, NC","Follow this account for geo-targeted General Labor job tweets in Raleigh/Durham, NC. Need help? Tweet us at @CareerArc!",Wed Mar 04 04:10:27 +0000 2009,30,310,0,TMJ-RDU Labor Jobs,Eastern Time (US & Canada),291,35.9909825,-78.8954405,Starbucks
@spacejermz It took helluh long to time this shit right https://t.co/OrAkENPOk3,0,FALSE,FALSE,Fri Dec 08 15:05:40 +0000 2017,FALSE,NA,"I am not the same, having seen the moon shine on the other side of the world. <ed><U+00A0><U+00BC><ed><U+00BC><U+008E>#CapturedRotation<ed><U+00A0><U+00BD><ed><U+00B5><U+008A>",Mon Dec 29 17:09:17 +0000 2014,4065,114,2336,Captured_Rotation,NA,109,37.7706565,-122.4359785,Starbucks
"We're #hiring! Click to apply: CDL A Owner Operator, Drop &amp; Hook - https://t.co/WpG8xUvrGR #Transportation #Detroit… https://t.co/W2zV3mMDIn",0,FALSE,FALSE,Fri Dec 08 15:05:40 +0000 2017,FALSE,"Detroit, MI","Follow this account for geo-targeted Transportation job tweets in Detroit, MI. Need help? Tweet us at @CareerArc!",Mon Mar 09 21:04:31 +0000 2009,294,365,0,TMJ-DTW Transp. Jobs,Eastern Time (US & Canada),293,42.3527865,-83.099288,Starbucks
How you late calling somebody for a phone interview that YOU set up ? <ed><U+00A0><U+00BE><ed><U+00B4><U+0094><ed><U+00A0><U+00BE><ed><U+00B4><U+0094><ed><U+00A0><U+00BE><ed><U+00B4><U+0094>,0,FALSE,FALSE,Fri Dec 08 15:05:40 +0000 2017,FALSE,I'm From Atlanta <ed><U+00A0><U+00BE><ed><U+00B4><U+00B7><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><U+200D><U+2642><U+FE0F>,When I’m Gone ... Just Carry On ... Don’t Mourn #ATLien<ed><U+00A0><U+00BD><ed><U+00B1><U+00BD> | BCU<ed><U+00A0><U+00BC><ed><U+00BE><U+0093>Alumnus | 19-S-14 | #DusseGang,Tue May 18 18:00:34 +0000 2010,186041,7115,5445,Bobby Savage<ed><U+00A0><U+00BE><ed><U+00B4><U+0098><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE><ed><U+00A0><U+00BC><ed><U+00BC><U+0099>,Eastern Time (US & Canada),4343,27.698682,-83.804475,Starbucks
"I love my Cowboys soooooo much I have a small Dallas Cowboys Tree in my classroom!!!! <ed><U+00A0><U+00BE><ed><U+00B4><U+00A0><ed><U+00A0><U+00BE><ed><U+00B4><U+00A0><ed><U+00A0><U+00BE><ed><U+00B4><U+00A0><ed><U+00A0><U+00BE><ed><U+00B4><U+00A0><ed><U+00A0><U+00BE><ed><U+00B4><U+00A0><ed><U+00A0><U+00BE><ed><U+00B4><U+00A0>
<ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+0099>#CowboysNation<ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+0099>
<ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+0099>… https://t.co/v1lHXp62Bf",0,FALSE,FALSE,Fri Dec 08 15:05:39 +0000 2017,FALSE,"New Mexico, USA","Catholic•Mother•Wife•Daughter•Aunt• Teacher•MA's in School and Professional Counseling and Dallas Cowboys Fan !!!!
<ed><U+00A0><U+00BD><ed><U+00B1><U+00A8><U+200D><ed><U+00A0><U+00BD><ed><U+00B1><U+00A9><U+200D><ed><U+00A0><U+00BD><ed><U+00B1><U+00A7><U+200D><ed><U+00A0><U+00BD><ed><U+00B1><U+00A7><ed><U+00A0><U+00BC><ed><U+00BF><U+0088><ed><U+00A0><U+00BD><ed><U+00B2><U+009C><ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8> #CowboysFan4Life <ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BC><ed><U+00BF><U+0088><ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BC><ed><U+00BF><U+0088>",Fri Jul 14 14:49:42 +0000 2017,20026,1683,72576,<ed><U+00A0><U+00BD><ed><U+00B2><U+009C><ed><U+00A0><U+00BD><ed><U+00B2><U+009C>Pamela M.<ed><U+00A0><U+00BD><ed><U+00B2><U+009C><ed><U+00A0><U+00BD><ed><U+00B2><U+009C>,NA,843,35.6053805,-105.2285935,Starbucks
THIS IS MY JOKE YOU DID NOT SAY THIS https://t.co/tzdTpZ4T6L,0,FALSE,FALSE,Fri Dec 08 15:05:40 +0000 2017,FALSE,CO,you can't take this happiness away from me,Sun Oct 09 19:21:06 +0000 2011,10619,648,5466,"Hey its me, Liz.",Mountain Time (US & Canada),310,40.5641905,-105.0639425,Starbucks
Vote 7151   : I  vote #KaranVohra for #ZindagiKiMehak #TVPersonality2017 @SabrasRadio @BizAsia,0,FALSE,FALSE,Fri Dec 08 15:05:40 +0000 2017,FALSE,"Toronto, Ontario","<ed><U+00A0><U+00BD><ed><U+00B5><U+0089> Shanti; 
<ed><U+00A0><U+00BC><ed><U+00B7><U+00AE><ed><U+00A0><U+00BC><ed><U+00B7><U+00B3> Ex-Army (WSES- 03);
<ed><U+00A0><U+00BD><ed><U+00B4><U+00BA><U+FE0F> PowerOfPositivity
<U+2764> Ashish Sharma
<U+2764> Karan Vohra<U+2764>",Mon Nov 28 14:26:38 +0000 2016,24085,231,19388,Sharmistha  C Modi,Pacific Time (US & Canada),97,43.629311,-79.2725695,Starbucks
If these folks don’t let me go home<U+2744><U+FE0F><U+2744><U+FE0F><U+2744><U+FE0F><U+2744><U+FE0F>,0,FALSE,FALSE,Fri Dec 08 15:05:40 +0000 2017,FALSE,"Atlanta, GA","I stay in my own lane unless you swerve out of yours. Live, Laugh, Love and all of that good shit. Here for the Twitter-tainment.",Fri Mar 27 05:19:19 +0000 2009,56467,879,104,TISHA,Quito,767,32.6782075,-83.1738665,Starbucks
Felder just sent us some photos of his garden! #MSSnowDay #MPBGarden #ThinkRadio https://t.co/rDRbKN0grA,0,FALSE,FALSE,Fri Dec 08 15:05:40 +0000 2017,TRUE,"Jackson, MS","Mississippi Public Broadcasting-Find out what's on #MPBTV & #ThinkRadio, & info from #MPBEducation. For news follow, @MPBNews.",Thu Feb 21 20:16:11 +0000 2008,39613,15573,3495,MSPublicBroadcasting,Central Time (US & Canada),1904,32.571032,-89.876449,Starbucks
I don't take nothin serious,0,FALSE,FALSE,Fri Dec 08 15:05:40 +0000 2017,FALSE,"Baton Rouge, LA",RIP Momo<ed><U+00A0><U+00BD><ed><U+00B8><U+0098> LongLiveScoop<ed><U+00A0><U+00BD><ed><U+00B1><U+00BC><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD> RIP Originae<ed><U+00A0><U+00BD><ed><U+00B2><U+009C> #sleeporGRIND,Wed Jun 29 00:43:13 +0000 2011,50505,2222,8305,ESmoove<ed><U+00A0><U+00BE><ed><U+00B4><U+00A0>,Central Time (US & Canada),1828,30.5844255,-91.1636195,Starbucks
Join the Rain Bird team! See our latest #job opening here: https://t.co/znle5NX4nJ #construction #irrigation… https://t.co/8wa4vM2uce,0,FALSE,FALSE,Fri Dec 08 15:05:40 +0000 2017,FALSE,"Azusa, CA","Rain Bird Jobs | Careers | Employment For 80+ years, Rain Bird remains the irrigation industry leader in 130+ countries worldwide. Come work at Rain Bird today.",Sat Jan 19 11:41:28 +0000 2013,1968,356,1463,Rain Bird Jobs,Arizona,217,32.576227,-86.6807375,Starbucks
"*reads tweet*

*checks avi for him holding a fish*

*confirms what I already knew* https://t.co/gQ2YckgJmD",0,FALSE,FALSE,Fri Dec 08 15:05:40 +0000 2017,FALSE,"Danville, CA",| 1-17-17 <ed><U+00A0><U+00BD><ed><U+00B1><U+00BC> | Bay Area | @AnttiUp32 • Rammy • @dean_dodgson | snap: j_rorke,Mon Aug 25 01:52:33 +0000 2014,203527,5434,161194,sad boi santa <ed><U+00A0><U+00BC><ed><U+00BE><U+0085><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>,Pacific Time (US & Canada),1805,37.758225,-121.9415795,Starbucks
Bllllllllloooooooooocccccccck https://t.co/1SFsJBx41A,0,FALSE,FALSE,Fri Dec 08 15:05:41 +0000 2017,FALSE,"New Jersey, USA","Chef, Restauranteur, TV personality, Judge on Food Network Guy's Grocery Games, Opie Radio. Financed Roland's Food Court  official caterer for the naked militia",Sat Mar 14 17:34:43 +0000 2009,18438,12753,43416,Carl ruiz,NA,1015,40.785951,-74.485163,Starbucks
"Persistent &amp; mysterious car trouble is the least painful way to learn about living by faith, choosing joy, and humbly accepting help.",0,FALSE,FALSE,Fri Dec 08 15:05:41 +0000 2017,FALSE,dallas,I like to talk about Truth. comms director @ valley view cc in dfw. I love films and filmmaking.,Fri Apr 03 16:26:37 +0000 2009,10781,532,20113,Sarah Rosie Hester,Quito,383,32.8198585,-96.7617535,Starbucks
Come on a journey around the world with @WilliamShatner @hwinkler4real @nbcbetterlate this morning!… https://t.co/JKt4bkUg5N,0,FALSE,FALSE,Fri Dec 08 15:05:40 +0000 2017,FALSE,NA,Satellite Media publicity tours worldwide and Social Media Content Production.,Tue Jan 26 21:48:23 +0000 2010,270,92,22,Custom Content Mktg,Pacific Time (US & Canada),110,34.141877,-118.360271,Starbucks
It’s always the same,0,FALSE,FALSE,Fri Dec 08 15:05:41 +0000 2017,FALSE,NA,Instagram: @ceceliadebroff,Sat Jun 16 12:18:12 +0000 2012,9987,552,13307,Cecelia DeBroff,Eastern Time (US & Canada),462,40.780709,-73.9685415,Starbucks
When a Florida native attempts to educate me on snow or winter weather in general. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> https://t.co/Zj2cWtqdER,0,FALSE,FALSE,Fri Dec 08 15:05:41 +0000 2017,FALSE,United States,Meteorology Student at FSU. FSU Weather Summer Producer/current behind-the-scenes content contributor. Forecasting and svr wx research. Air Force Veteran. OK<U+27A1>FL,Thu Nov 27 15:50:33 +0000 2014,809,178,1245,Colby Pope,NA,418,30.4762155,-84.266174,Starbucks
"global warming, noun: You’re going to be driving north for a while. https://t.co/ESETmFLoa4",0,FALSE,FALSE,Fri Dec 08 15:05:41 +0000 2017,FALSE,"Bristol, CT // Columbus, OH",NA,Tue Jun 30 21:38:55 +0000 2009,4256,173,1324,Darcy's Pride,Eastern Time (US & Canada),173,39.9946835,-82.985772,Starbucks
it’s snowing and I’m just so happy,0,FALSE,FALSE,Fri Dec 08 15:05:41 +0000 2017,FALSE,gsu,gsu '20ish<ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B0><U+00BE>#statenotsouthern||college football<ed><U+00A0><U+00BC><ed><U+00BF><U+0088>||R.I.P daddy. 09-13-14,Sun May 20 17:27:04 +0000 2012,49336,1496,26699,ashleigh camille<ed><U+00A0><U+00BC><ed><U+00BC><U+00BB>,Eastern Time (US & Canada),512,34.0110765,-84.612392,Starbucks
i can’t even,0,FALSE,FALSE,Fri Dec 08 15:05:41 +0000 2017,FALSE,"Oklahoma City, OK",my favorite day of the week is thursday,Mon Aug 15 15:25:47 +0000 2011,1212,83,2108,Shantel Marie,NA,144,35.4828435,-97.552161,Starbucks
S t a r v i n g,0,FALSE,FALSE,Fri Dec 08 15:05:41 +0000 2017,FALSE,Park Trails<ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,RealLeftCrip out this bitch | Cooling like a cooler cuzz <U+2744><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B2><U+0099>,Thu Jul 26 22:07:52 +0000 2012,56775,1936,17665,asexual&abstinent,Atlantic Time (Canada),695,39.9946835,-82.985772,Starbucks
